,기업명,채용공고,위치,위치상세,태그,마감일,경력
83,씨제이대한통운(CJ대한통운),디지털물류플랫폼 데이터 사이언티스트,서울 강남구,"서울 강남구 강남대로 464 비제바노빌딩 6층, 더 운반","자기계발지원,편의시설,식대지원,사내동호회,의료비지원,인원성장,1,001~10,000명,퇴사율 6~10%,설립10년이상",상시채용,경력 3-8년
84,클럼엘,[2년 이상] 주니어 Software Engineer (Data),서울 강남구,"서울 강남구 테헤란로26길 12, 제일비전타워 2층","스톡옵션,자율복장,자유로운휴가,재택근무,커피·스낵바,식대지원,설립3년이하",상시채용,경력 2-6년
85,휴넷,Data Engineer,서울 구로구,"서울시 구로구 디지털로26길 5, 에이스하이엔드타워1차 818호","복지포인트,재택근무,자기계발지원,식대지원,유망산업,301~1,000명,설립10년이상",2024.05.31,경력 5-10년
86,티비유,Data Engineer,서울 서초구,"서울특별시 서초구 서초대로 78길 26, 10층 (강남선인빌딩)","통신비,건강검진지원,보너스,스톡옵션,장비지원,유연근무,유망산업,설립3년이하",상시채용,경력 4-10년
87,클로인트,블록체인 데이터 사이언티스트,서울 서초구,서초구,"유망산업,건강검진지원,장비지원,커피·스낵바",상시채용,경력 4-15년
88,크래블,필드 엔지니어,서울 성동구,서울특별시 성동구 성수일로 10 서울숲 ITCT 1602호,"자기계발지원,커피·스낵바,유연근무,워크샵,휴가비,보너스,설립4~9년",2024.05.31,경력 1-5년
89,이지케어텍,의료 CDW 시스템관리(데이터) 담당자,경기 성남시,"성남시 분당구 근무 (정자역, 미금역)","의료비지원,사내동호회,건강검진지원,자기계발지원,복지포인트,301~1,000명,설립10년이상",상시채용,경력 1-10년
90,아임웹,[100억↑투자] Data Lead,서울 강남구,서울시 강남구 테헤란로 501 VPLEX 14층 아임웹 강남 오피스,"커피·스낵바,식대지원,설립10년이상",상시채용,경력 8-12년
91,잼팟,BI/DW 담당자,서울 영등포구,서울특별시 영등포구 문래로28길,"식대지원,복지포인트,커피·스낵바,유연근무,설립10년이상",상시채용,경력 5-10년
92,빗썸코리아,[빗썸] 데이터 기획자,서울 강남구,"서울시 강남구 테헤란로 124, 삼원타워 14~18F","유망산업,사내동호회,커피·스낵바,대출지원,식대지원,어린이돌봄,건강검진지원,복지포인트,301~1,000명,설립10년이상",상시채용,경력 8-15년
93,메이크스타,[100억↑투자] Senior Data Analyst (5년 이상),서울 강남구,강남구 학동로23길 29,"자유로운휴가,커피·스낵바,설립4~9년",상시채용,경력 5-15년
94,콘센트릭스서비스코리아CATALYST,Data Engineer,서울 ,삼성동 NC,"건강검진지원,식대지원,유연근무,자기계발지원,보너스,단체보험",상시채용,경력 7-10년
95,모라이(MORAI),Data Visualization & Processing Engineer,서울 강남구,"서울시 강남구 테헤란로 78길 16, 7층","식대지원,커피·스낵바,유연근무,건강검진지원,보너스,휴가비,전문연구요원,설립4~9년",상시채용,신입-경력 15년
96,로민,[전문연구요원] 멀티모달(컴퓨터비전/자연어처리) 엔지니어,서울 서초구,"서울 서초구 방배천로2길 10, 7층","유망산업,유연근무,휴가비,커피·스낵바,유급휴가,재택근무,설립4~9년",2024.05.31,경력 1-5년
97,에프앤가이드,인덱스개발팀 (인덱스 개발 및 유지보수 관리),서울 강서구,서울특별시 강서구 마곡중앙2로 61,"유망산업,설립10년이상",2024.05.31,신입
98,스카이랩스(SkyLabs),[400억↑투자] 딥러닝/머신러닝(AI) 개발자,경기 성남시,"성남시 분당구 판교로 255번길 58, 씨즈타워 703호","자율복장,편의시설,식대지원,수평적조직,커피·스낵바,유망산업,유연근무,전문연구요원,설립4~9년",상시채용,경력 1-10년
99,강남언니(힐링페이퍼),머신러닝 엔지니어,서울 강남구,"테헤란로 124, 삼원타워(변협 신회관 빌딩) 13층","건강검진지원,대출지원,사내동호회,커피·스낵바,의료비지원,식대지원,전문연구요원,산업기능요원,설립10년이상",상시채용,경력 3-9년
100,더블유컨셉코리아(W컨셉),검색&데이터 개발팀 검색 엔진 개발자,서울 강남구,"서울시 강남구 테헤란로 231, 센터필드 EAST동 20층","의료비지원,출산휴가,자기계발지원,커피·스낵바,임직원할인,육아휴직,리프레시휴가,자유로운휴가,유연근무,설립10년이상",상시채용,경력 6-15년
101,워트인텔리전스,데이터 엔지니어,서울 서초구,"서초구 강남대로 507, 6층","유망산업,스톡옵션,자율복장,커피·스낵바,유연근무,리프레시휴가,보너스,자기계발지원,연봉업계평균이상,수평적조직,식대지원,편의시설,장비지원,설립4~9년",상시채용,경력 3-10년
102,인터엑스,[서울] 데이터 분석가 (이미지 및 영상),서울 금천구,서울 금천구 가산디지털1로 171 가산SKV1 센터 1001호,"유망산업,사내동호회,자율복장,보너스,유연근무,전문연구요원,설립4~9년",상시채용,경력 2-5년
103,넛지헬스케어(캐시워크),데이터분석가 (병역특례_현역/보충역),서울 강남구,서울특별시 강남구 역삼로1길 8,"편의시설,커피·스낵바,복지포인트,식대지원,설립4~9년,건강검진지원",상시채용,신입
104,보로노이,신약개발 데이터사이언티스트 (5년이상),인천 연수구,연수구 송도과학로 32 IT센터,"유망산업,설립4~9년",상시채용,경력 5-10년
105,빗썸코리아,[빗썸] 데이터 분석 개발자,서울 강남구,"서울시 강남구 테헤란로 124, 삼원타워 14~18F","유망산업,사내동호회,커피·스낵바,대출지원,식대지원,어린이돌봄,건강검진지원,복지포인트,301~1,000명,설립10년이상",상시채용,경력 4-12년
106,야놀자Tech(R&D),Software Engineer - Data Infrastructure,서울 강남구,"대한민국 서울특별시 강남구 대치2동 1003, 야놀자 본사","커피·스낵바,보너스,유망산업,자기계발지원,자유로운휴가,식대지원",상시채용,경력 3-10년
107,다이얼로그디자인에이전시,AI/NLP R&D Engineer (3년 이상),서울 송파구,서울시 송파구 송파대로 201 테라타워2 A 1014-1015,"유망산업,커피·스낵바,보너스,식대지원,설립4~9년",상시채용,경력 3-5년
108,비에이치에스엔,LLM DATA PM (3년 이상),서울 강남구,"서울 강남구 삼성로 570, 5층","커피·스낵바,식대지원,유연근무,건강검진지원,설립4~9년",2024.05.31,경력 3-10년
109,앤서스랩코리아,[DX]Data Processing Engineer,서울 강남구,"서울특별시 강남구 언주로 609, PAX TOWER 4층","복지포인트,커피·스낵바,식대지원,사내동호회,자기계발지원,유망산업,301~1,000명,설립10년이상",상시채용,경력 5-10년
110,아하앤컴퍼니,아하팀 AI 엔지니어,서울 강남구,"서울특별시 강남구 테헤란로 79길 6, 4층 (제이에스타워)","식대지원,유급휴가,건강검진지원,유망산업,설립4~9년",상시채용,경력 1-5년
111,넥슨코리아(NEXON),[인텔리전스랩스] 탐지솔루션실 데이터 애널리틱스 엔지니어,경기 성남시,"경기도 성남시 분당구 판교로 256번길 7, 넥슨","자기계발지원,편의시설,사내동호회,유망산업,유연근무,1,001~10,000명,설립10년이상",상시채용,경력 5-99년
112,넛지헬스케어(캐시워크),데이터분석가,서울 강남구,서울특별시 강남구 역삼로1길 8,"편의시설,커피·스낵바,복지포인트,식대지원,설립4~9년,건강검진지원",상시채용,신입-경력 3년
