,기업명,채용공고,위치,위치상세,태그,마감일,경력
150,세이지리서치,[전문연구요원 가능] Machine Learning Researcher,서울 강남구,서울특별시 강남구 강남대로 374 케이스퀘어 강남2 3층,"유망산업,자기계발지원,스톡옵션,보너스,커피·스낵바,편의시설,휴가비,식대지원,리프레시휴가,사내동호회,건강검진지원,설립4~9년",상시채용,신입-경력 5년
151,올리브유니온(OliveUnion),Data analyst 석사급,서울 서초구,서초구 반포대로28길 24 호원빌딩,"식대지원,연봉상위11~20%,인원급성장,50명이하,설립4~9년",상시채용,경력 1-3년
152,엘리스,AI 엔지니어,서울 강남구,"서울시 강남구 선릉로 433 세방빌딩 6층, 16층","유망산업,산업기능요원,커피·스낵바,건강검진지원,보너스,전문연구요원,식대지원,인원급성장,51~300명,설립4~9년",상시채용,신입-경력 10년
153,코니바이에린,[재택근무] 데이터 애널리틱스 엔지니어 (3년+),서울 ,재택가능,"건강검진지원,재택근무,커피·스낵바,설립4~9년",상시채용,경력 3-10년
154,대홍기획,백엔드 개발자 (DB개발),서울 중구,서울 중구 통일로 10,"편의시설,의료비지원,대출지원,통신비,건강검진지원,리프레시휴가,복지포인트,유망산업,연봉상위1%,301~1,000명,설립10년이상",상시채용,경력 4-10년
155,다우기술,금융 데이터 엔지니어,서울 마포구,"서울 마포구 독막로 311, 재화스퀘어","유연근무,자기계발지원,복지포인트,대출지원,연봉상위1%,인원급성장,301~1,000명,설립10년이상",2024.05.12,경력 3-6년
156,해줌,[100억↑투자] 데이터사이언티스트,서울 송파구,"서울시 송파구 법원로 128, SK V1 A동 706호","자율복장,유연근무,육아휴직,편의시설,사내동호회,워크샵,유망산업,보너스,자기계발지원,커피·스낵바,건강검진지원,연봉업계평균이상,인원급성장,51~300명,설립10년이상",상시채용,경력 3-15년
157,와이지플러스(YG PLUS),IT기획운영팀 Data Engineer(3년~6년),서울 영등포구,"서울 영등포구 국제금융로 10 19층 (여의도동, 쓰리아이에프씨)","사내동호회,커피·스낵바,자기계발지원,건강검진지원,유급휴가,유연근무,장비지원,재택근무,연봉상위2~5%,인원급성장,51~300명,설립10년이상",상시채용,경력 3-6년
158,삼육오엠씨네트웍스,[부산서면] 의료 Data / AI 사이언티스트,서울 ,부산진구 서면로 74 아이온시티빌딩 14층,"커피·스낵바,보너스,자기계발지원,장비지원,유망산업,식대지원,연봉업계평균이상,51~300명,설립4~9년",2024.06.30,경력 3-5년
159,엔라이즈(NRISE),[100억↑투자] 데이터 엔지니어,서울 서초구,서울특별시 서초구 서초대로77길 55 에이프로스퀘어 9층,"유연근무,커피·스낵바,식대지원,건강검진지원,사내동호회,편의시설,대출지원,재택근무,산업기능요원,연봉상위6~10%,인원급성장,51~300명,설립10년이상",상시채용,경력 3-8년
160,엘지유플러스(LG유플러스),[CDO] AI Scientist (음성인식/합성),서울 ,,"유연근무,의료비지원,장비지원,임직원할인,육아휴직,건강검진지원,사내동호회,어린이돌봄,복지포인트,유망산업,연봉상위1%,인원급성장,10,001명이상,퇴사율 6~10%,설립10년이상",2024.05.31,경력 2-20년
161,팀블랙버드(CryptoQuant),[100억↑투자] Web3 데이터 엔지니어,서울 영등포구,서울특별시 영등포구 국회대로 612,"유망산업,커피·스낵바,건강검진지원,재택근무,유연근무,연봉상위2~5%,50명이하,설립4~9년",상시채용,경력 2-10년
162,메디웨일,데이터 사이언티스트,서울 강남구,"서울특별시 강남구 논현로 746, 석호빌딩 4층 메디웨일","커피·스낵바,건강검진지원,유연근무,재택근무,식대지원,설립4~9년",상시채용,신입
163,피매치,백엔드 엔지니어,서울 마포구,마포구 마포대로 122 프론트원 13층,"유망산업,보너스,커피·스낵바,자기계발지원,식대지원,설립3년이하",상시채용,경력 2-5년
